,Job Title,Client,Job Description,Location
7056,Data Engineer,Novetta,Experience with:Working on a cross functional teamDelivering big data solutionsAmazon Web ServicesDevOps best practices  JenkinsDebugging data pipeline issues,"Crystal City, VA"
7057,Data Engineer,Novetta,Comfortable with:Interaction with analysts to help drive big data analyticsAgile development,"Crystal City, VA"
7087,Data Engineer,RELX Group,"Work with the team to build new estimation and forecasting models using fit for purpose data processing technologies such as SAS, PySpark, or Amazon Athena","Reston, VA"
7094,Data Engineer,RELX Group,"Knowledge of SAS programming techniques and efficiencies including Base SAS, SAS/Macros, and PROC SQL","Reston, VA"
7095,Data Engineer,RELX Group,"Dev/Ops experience in Amazon Web Services, Linux environments, and shell scripting","Reston, VA"
7106,Level 1 Cloud Engineer,Hitachi Vantara,"Act as Tier 1 Support Engineer to triage and troubleshoot issues with AWS services like EC2, S3, RDS etc.","Reston, VA"
7113,Database Engineer,AARP,"Ensure ongoing accuracy of data ETL feeds, monitoring for changes in the source systems which may alter inbound data.","Washington, DC 20001"
7124,Data Engineer,ECS Federal LLC,"Work closely with data engineers and architects to engineer ETL solutions to prepare raw data for ingest into machine learning environments for algorithm training, tuning and evaluation.",
7125,Data Engineer,ECS Federal LLC,"Design, develop and maintain data services and/or pipelines as part of an Agile/Scrum team",
7128,Data Engineer,ECS Federal LLC,Proficient parsing / ETLing data into a variety of formats for integration into data pipelines,
7129,Data Engineer,ECS Federal LLC,"Experience working with cloud technologies (Amazon Web Services, Microsoft Azure, etc.)",
7137,Big Data Engineer,HonuServices,"Work experience on teams using Agile, Scrum, DevOps, and Continuous Integration and Continuous Delivery","Arlington, VA"
7147,Data Engineer,Riva Solutions Inc,"Good working knowledge and handson experience with key software platform architectures, web servers, application servers, and relational databases.","Washington, DC"
7150,Data Engineer,Riva Solutions Inc,"Has a deep understanding of system development in cloud environments, including Software as Service (SaaS), Platform as Service (PaaS), or Infrastructure as a Service (IaaS).","Washington, DC"
7151,Data Engineer,Riva Solutions Inc,"Develops strategies for warehouse implementation, data acquisition, and archive recovery.","Washington, DC"
7159,Cloud Data Engineer,Plus3 IT Systems,"Developing Extract Transform and Load (ETL) pipelines and automation for advanced cloud service integration and data warehouse hosting. Heavily leveraging AWS services, Python, Spark, and REST APIs.","Washington, DC"
7160,Cloud Data Engineer,Plus3 IT Systems,"Building automation tooling and pipelines that enable secured systems to be deployed across a variety of environments, including public/private cloud, or virtual machines.","Washington, DC"
7162,Cloud Data Engineer,Plus3 IT Systems,"Proven experience in AWS architecture and engineering, AWS data services (BOTO3, etc)","Washington, DC"
7165,Lead Data Engineer,Guru,"Proficiency with AWS environments and implementation of AWS data tools (RedShift, Dynamo, RDS, Migration Services)","Gaithersburg, MD 20878"
7166,Lead Data Engineer,Guru,"Handson experience working with a variety of data repository models including Data Marts, Data Warehouses and Data Lakes","Gaithersburg, MD 20878"
7169,Senior Data Engineer,HelioCampus,"Experience with data mapping, and the ability to design and develop ETL solutions.","Adelphi, MD"
7170,Senior Data Engineer,HelioCampus,"Ability to multitask, ability to troubleshoot problems in realtime and diagnose the root cause.","Adelphi, MD"
7171,Data Engineer,Logistics Management Institute,"Experience building graph data models/schemas and applications (ex: Spark GraphFrames, Neo4j)","Tysons, VA"
7172,Data Engineer,Logistics Management Institute,"Experience building NoSQL/document based stores and data models/schema (ex. MongoDB, JSON)","Tysons, VA"
7174,"Data Engineer (Excel, Tableau & SQL Server)",Net ESolutions Corporation,"Develop an interactive tool (e.g., Tableau dashboard) to meet the needs and requirements of the client.","Rockville, MD 20852"
7197,Data Engineer,Steampunk,"Constantly interact with both ETL developers and end users data analysts to share knowledge, collect feedback, and provide additional implementation requirements.","McLean, VA 22102"
7204,Data Engineer,Steampunk,"Demonstrated experience working with data science tools technologies, particularly Python or SQL","McLean, VA 22102"
7205,Data Engineer,US Pharmacopeia,"Designs, builds, and implements data pipelines to support advanced use cases for product grade data science products","Rockville, MD"
7209,Data Engineer,US Pharmacopeia,Supports transition to agile approaches for data asset development and deployment,"Rockville, MD"
7216,Data Engineer,US Pharmacopeia,Proven ability to clearly define priorities and focus on delivering work products in agile fashion,"Rockville, MD"
7219,Data Engineer  RPA,BRMi,"Extensive experience in engineering and designing data integration and delivery solutions using Informatica Power Center, SQL, and Unix /Shell scripts.","Chantilly, VA 20151"
7220,Data Engineer  RPA,BRMi,"Proficient in the data ingestion pipeline process, exception handling, and metadata management on Hadoop platforms.","Chantilly, VA 20151"
7226,Data Engineer I,Prescient Edge Federal,"R (priority) and Natural Language Processing (NLP) within R, Spark, SAS programming","Arlington, VA 22206"
7228,DATA ENGINEER,Thomson Reuters Special Services,"Design, build and support data pipelines and workflows designed to maximize the usefulness and efficiency of internal and external data sets being brought to bear on customer issues","McLean, VA"
7235,DATA ENGINEER,Thomson Reuters Special Services,Experience connecting to and querying a variety of relational and documentoriented databases,"McLean, VA"
7236,DATA ENGINEER,Thomson Reuters Special Services,Experience with information retrieval technologies such as Lucene and ElasticSearch,"McLean, VA"
7241,Senior Data Engineer,Kitcheck,"Proficiency in SQL, ETL processes, denormalization concepts and a programming language","Washington, DC"
7242,Senior Data Engineer,Kitcheck,Experience with AWS and Infrastructureascode tools such as Cloudformation and Terraform,"Washington, DC"
7249,Chief Data Engineer,Two Six Labs,"StateoftheArt knowledge in one or more of the following areas: RealTime Platform Development, Knowledge Graphs, Unstructured Text Processing, and/or CloudAgnostic Deployment","Arlington, VA 22203"
7262,Data Engineer,The Aerospace Corporation,Experience working with opensource data analytics/data pipeline frameworks in the Apache ecosystem.,"Chantilly, VA"
7278,Engineer II  AWS,AARP,Assume a technical role in the administration and management of infrastructure solutions that are deployed in AWS regions hosted by AARP.,"Washington, DC 20001"
7282,Engineer II  AWS,AARP,"An understanding of external cloud hosting providers including Amazon Web Services, Microsoft Azure","Washington, DC 20001"
7283,Engineer II  AWS,AARP,Solution Architecture experience with projects using Agile and other iterative approaches,"Washington, DC 20001"
7284,Software Engineer  Data Services,ZeniMax Media Inc.,Implement big data systems capable of interacting with operational systems supporting games and players in realtime,"Rockville, MD 20850"
7305,Data Engineer (Level I),"IEM, Inc","Support the configuration and ingestion of designated structured, unstructured, and semistructured data repositories into capabilities that satisfy mission partner requirements and support a data analytics and DevOps pipeline to drive rapid delivery of functionality to the client","Washington, DC 20032"
7310,Data Engineer/Analyst,Association Analytics Inc,Understanding of relational as well as knowledge of analytical and NoSQL databases,"Arlington, VA 22209"
7312,Data Engineer/Analyst,Association Analytics Inc,Familiarity with business intelligence tools such as Microsoft Power BI or Tableau,"Arlington, VA 22209"
7314,Data Engineer/Analyst,Association Analytics Inc,Experience working in a DevOps environment with automated builds and automated testing,"Arlington, VA 22209"
7315,Data Analytics Engineer,QOMPLX,"Engineer data pipelines that handle collection, parsing, cleansing and enrichment of terabytes/petabytes of data to meet the client’s analytics needs","Reston, VA"
7316,Data Analytics Engineer,QOMPLX,Developing stateoftheart analytics ranging from ad hoc analysis to productiongrade pipelines and workflows,"Reston, VA"
7317,Data Analytics Engineer,QOMPLX,Providing mathematical algorithms and implementations to serve the needs of data analysis workflows in QOMPLX’s modular SaaS platform,"Reston, VA"
7323,Data Analytics Engineer,QOMPLX,"Hands on expertise in data analytic technologies such as Apache Spark, Apache Flink, MLOps Pipelines and notebooks like Polynote/Jupyter","Reston, VA"
7338,Data Engineer (Apache Spark),Acuity INC,"Design and arrangement of scalable, highly attainable, and fault tolerant big data eco systems on cloud platform.","Reston, VA 20190"
7340,Data Engineer (Apache Spark),Acuity INC,"Experience working with Software Development Life Cycle (SDLC), Agile methodologies (Scrum)","Reston, VA 20190"
7341,Senior Data Engineer,Amazon.com,Collaborate with teams across AWS to develop data infrastructure and pipelines to drive analytics and visualizations for programs from initial experimentation to production deployment,
7342,Senior Data Engineer,Amazon.com,Build and automate data systems used for planning and prioritizing resources for thousands of critical projects across hundreds of AWS data centers globally,
7343,Senior Data Engineer,Amazon.com,"Apply the latest SQL and AWS big data technologies to extract, transform, write code, and load data from a wide variety of data sources – get creative!",
7346,Embedded Data Scientist,Govini,"Apply advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple realtime decision systems","Arlington, VA 22209"
7351,Embedded Data Scientist,Govini,"Expertise with building or using systems, such as Apache Beam or Spark, that can handle data engineering tasks","Arlington, VA 22209"
7352,Embedded Data Scientist,Govini,"Programming skills in Hadoop, MapReduce or other big data frameworks, Java, and/or statistical modeling such as SAS or R","Arlington, VA 22209"
7357,Data Analyst,Genex Systems,"strong knowledge of and experience with databases, programming (XML, Javascript, or ETL frameworks)","McLean, VA"
7358,Data Analyst,Genex Systems,"strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy;","McLean, VA"
7363,Data Analytics Engineer,The Aerospace Corporation,"Experience working with data streaming/movement technologies gRPC, Kafka, or Nifi","Chantilly, VA"
7365,Data Analytics Engineer,The Aerospace Corporation,"Knowledge of data analytics tools for data pipelines, cloud storages, and interactive visualization dashboards","Chantilly, VA"
7370,Cloud Engineer,CACI,"Providing education and technical advice to implement a continuous integration/continuous deployment (CI/CD) methodology with Jenkins Pipeline, GitHub, and AWS CodeDeploy","McLean, VA 22102"
7391,Cloud Engineer,ProSphere,The cloud engineer shall have experience with: AWS and Azure CSP management tools; Application Programming Interfaces(API)and web services;,"Washington, DC"
7410,Software Engineer to manage NASA Data,"INNOVIM, LLC","Participate in all aspects of the software development lifecycle from user story generation, through design, development, automated testing and operational support","College Park, MD"
7411,Software Engineer to manage NASA Data,"INNOVIM, LLC","Experience with Ruby on Rails, Postgres, Javascript, and Cascading Style Sheets (CSS)","College Park, MD"
7412,Software Engineer to manage NASA Data,"INNOVIM, LLC",Experience working in a development team using an Agile methodology (preferably Scrum or SAFe).,"College Park, MD"
7414,Software Engineer to manage NASA Data,"INNOVIM, LLC",Experience with DevOps including doing automated testing and deployments in a CI/CD pipeline (Bamboo preferred),"College Park, MD"
7416,Data Warehouse Engineer  Mid (Informatica),Qbase,Use converted data—automated and manual—to include interfaces in and out of system at each milestone of the matrixed project plan being supported,"Fort Belvoir, VA 22060"
7428,Data Engineer,springML,"Build Data pipelines using standard frameworks in Hadoop, Apache Beam and other open source solutions.","Herndon, VA"
7431,"Senior Data Engineer, Community Impact",United Way,Create a data ingestion framework to onboard Local United Ways and 211s that want to share their data. Build automated jobs to refresh data sources as updates are made across the network.,"Alexandria, VA 22302"
7435,"Senior Data Engineer, Community Impact",United Way,"Proven experience with largescale data integration efforts at organizations with a highly federated business model, and who can work collaboratively with IT functions in an agile manner.","Alexandria, VA 22302"
7438,"Senior Data Engineer, Community Impact",United Way,"Data Concepts (ETL, near/realtime streaming, data structures, metadata and workflow management)","Alexandria, VA 22302"
7454,Big Data Software Engineer,CACI,"Ability to monitor pipeline performance and apply optimizations, where and when necessary","McLean, VA 22102"
7455,Big Data Software Engineer,CACI,Experience with the following programming languages:Structured Query Language (SQL)Java,"McLean, VA 22102"
7458,Data EngineerJourneyman,Perspecta,"Experience with designing, developing and managing enterpriselevel databases using relational dabased such as SQL Server or MySQL",
7462,Senior BI Data Engineer/ ETL Developer,Comprehensive Logistics Co. LLC,"Develop and maintain OLAP cubes and/or analytics data warehouses, SQL utility Stored Procedures, Functions and Views",
7463,Senior BI Data Engineer/ ETL Developer,Comprehensive Logistics Co. LLC,"Administer analytics databases running on Azure SQL, and SQ Servers, or other data storage solutions",
7464,Senior BI Data Engineer/ ETL Developer,Comprehensive Logistics Co. LLC,"Research and introduce new data engineering tools and technologies, Microsoft Azure tools and technologies in particular",
7465,Senior BI Data Engineer/ ETL Developer,Comprehensive Logistics Co. LLC,"Indepth understanding of database management systems, online analytical processing (OLAP) and ETL/ELT frameworks",
7468,Data Integration Engineer,CGI,"Design and develop utilities to transform, enhance and clean data in preparation for loading to target datalake such a relational database or Elasticsearch.",
7471,Data Integration Engineer,CGI,Test and debug custom data extraction utilities and validate the data feed requirements that are part of the data pipeline.,
7474,Big Data/Hadoop Developer,General Dynamics Information Technology,"Install, Configure and Deploy technology solutions using DevOps tool chain (i.e Ansible)","Falls Church, VA 22042"
7475,Big Data/Hadoop Developer,General Dynamics Information Technology,"Hadoop cluster administration, expansion, and upgrade in cloud hosted environments","Falls Church, VA 22042"
7476,Big Data/Hadoop Developer,General Dynamics Information Technology,"Monitor Hadoop Cluster Availability, Connectivity and Security • Setting up Linux users, groups, Kerberos principals and keys","Falls Church, VA 22042"
7483,Senior Data Engineer,ICF,Experience with driving Agile Software Delivery Life Cycle in a business environment.,
7488,Senior Data Engineer,ICF,"Strong experience developing SQL scripts, data processing processes, and performance tuning quantitative queries",
7500,Senior Data Engineer,West Creek Financial,Expert in building data pipelines in a production environment that supports critical data output,"Washington, DC"
7502,Senior Data Engineer,West Creek Financial,"Experience with managing services within any of the major cloud providers: AWS (preferred), Azure, or GCE","Washington, DC"
7503,Senior Data Engineer,West Creek Financial,"Experience building solutions with Snowflake, dbt, and Stitch Data (or similar technologies)","Washington, DC"
7513,Data Engineer (TS/SCI),IBM,"Utilize skills in VBA, ETL Tools, Cognos, Hadoop or Hadoop based tools as well as other Business Intelligence tools.","Washington, DC 20001"
7528,Data Engineer  Defense & Intelligence,Elder Research Inc," Data manipulation, SQL, relational databases, and/or NoSQL databases – experience as a DBA is a huge plus","Fort Meade, MD 20755"
7529,Data Engineer  Defense & Intelligence,Elder Research Inc," DevOps – infrastructure, continuous integration and automation, packaging and deployment","Fort Meade, MD 20755"
7533,Data QA Engineer,Rapid Finance,"Prior experience with the following are preferred:Team Foundation Server (TFS)Web Services and SQLRequirements and specifications documentation analysesAgile, Waterfall and Hybrid SDLC environment knowledgeSelenium and Java/Python knowledge for Automation TestingNet development environment","Bethesda, MD"
7535,Data QA Engineer,Rapid Finance,"You want to make an impact. We are a rapidly growing business, and you will have the opportunity to make a significant impact on our clients, our culture, and our future.","Bethesda, MD"
7537,Senior Data Engineer,Xometry Inc,Build analytics models that utilize the data pipeline to provide actionable insights into key business performance metrics.,"Bethesda, MD 20814"
7543,Senior Data Engineer,Xometry Inc,"Ability to set up CI/CD pipelines, maintain terraform scripts for infrastructure.","Bethesda, MD 20814"
7547,Senior Data Engineer,Xometry Inc,"Understanding of web application architectures like microservices, domain driven design, serviceoriented architecture.","Bethesda, MD 20814"
7563,Data Scientist,Varen Technologies,"Work with subject matters experts (SMEs) to identify important information in raw data and develop scripts that extract this information from a variety of data formats (e.g., SQL tables, structured metadata, network logs)","Annapolis Junction, MD 20701"
7567,Data Scientist,Varen Technologies,"Evaluate and validate the performance of analytics using standard techniques and metrics (e.g. cross validation, ROC curves, confusion matrices)","Annapolis Junction, MD 20701"
7571,Sr. Data Engineer,Amazon.com,"Experience with AWS technologies stack including Redshift, RDS, S3, EMR or similar solutions build around Hive/Spark etc",
7574,Sr. Data Engineer,Amazon.com,Optimizing the performance of businesscritical queries and dealing with ETL job related issues,
7576,Big Data Engineer,"DataSync Technologies, Inc","Ability to architect highly scalable distributed systems, using different open source tools.","Reston, VA"
7577,Big Data Engineer,"DataSync Technologies, Inc",Experience building data processing systems with Hadoop and Hive using Java or Python,"Reston, VA"
7587,Senior Data Engineer,"Interos, Inc.",Develop training programs to ensure users across the organization can effectively use the data lake,"Arlington County, VA"
7591,Senior Data Engineer,"Interos, Inc.","Do the work of extracting, transforming and analyzing data with wellformed SQL queries and data and scientific libraries","Arlington County, VA"
7598,Cloud Engineer,Mathematica Policy Research,"Provide innovative thought leadership around Mathematica’s cloud solutions strategy and approach, including AWS best practices and market trends","Washington, DC 20024"
7600,Cloud Engineer,Mathematica Policy Research,"Knowledge of SQL, R, and Python for data manipulation and statistical analysis is desirable","Washington, DC 20024"
7606,Cloud Engineer,Koch,"Experience in Database technology to include Postgres and MSSQL, Mongo, Elasticsearch","Arlington, VA 22201"
7609,Data Engineer,"Akima, LLC","Facilitate the ETL process to optimize data ingestion, cleaning, joining, and merging for use in AA and IMAP products.","Washington, DC"
7620,Data Engineer,The Motley Fool,"Experience building and optimizing ‘Big Data’ data pipelines, architectures, and data sets.","Alexandria, VA 22314"
7626,Data Engineer,The Motley Fool,Experience with streaming tools like Kafka/Kinesis and Spark Structured Streaming a plus.,"Alexandria, VA 22314"
7628,Data Engineer/Scientist,Logistics Management Institute,"Build data analytics and data science tools that improve data quality, such as entity resolution, natural language processing, and automatic validation processes.","Tysons, VA"
7631,Data Engineer/Scientist,Logistics Management Institute,"Advanced working knowledge of SQL and NoSQL, as well as working familiarity with a variety of database types.","Tysons, VA"
7641,Sr. Machine Learning Engineer (Data Engineering),"Interos, Inc.","Passionate about writing code that is scalable, maintainable, reusable, and welltested","Arlington County, VA"
7644,Data Engineer,Kingfisher Systems,"The successful candidate should have experience with scripting in Python and using Nifi. Some knowledge of geospatial software such as ArcGIS, QGIS is preferred or willingness to learn.","Falls Church, VA"
7650,Data Platform Engineering Leader Any US Office,Arcadis,"A handson engineering leader with broad and deep data skillset who enjoys spearhead multiple concurrent data initiatives, build data processing pipelines.","Arlington, VA 22201"
7658,Data Engineer,Praxis Engineering,"Demonstarte experience developing in a cloud environment, such as Amazon Web Services","McLean, VA"
7659,Data Engineer,Praxis Engineering,"Conferences (recently attended by Praxis employees): AWS Summit, IoT World, Black Hat and DefCon.","McLean, VA"
7660,Data Engineer,Praxis Engineering,"Praxis University: Cyber Research, Data Analytics, IoT, AWS and RedHat course offerings and handson training.","McLean, VA"
7696,Data Protection Services Engineer,"teKnoluxion Consulting, LLC",Seek out opportunities to automate repetitive functions for consistency and repeatability,"Springfield, VA 22150"
7718,Jr. Data Analyst (Web Scraping),MVM,"Experience using Continuous Integration/Continuous Delivery tools specifically: GitHub and/or GitLab, Jenkins","Arlington, VA"
7719,Jr. Data Analyst (Web Scraping),MVM,Experience working in an agile development environment where tasks are documented and tracked in a tool such as Jira,"Arlington, VA"
7720,Database Support Engineer,CACI,"Develops relational and/or ObjectOriented databases, database parser software, and database loading software","McLean, VA 22102"
7736,Big Data Engineer/Developer Snr (Open to Sponsorship),Technology Ventures,Demonstrated flexibility and adaptability to changes – Agile methodology experience with Jira,"McLean, VA 22102"
7741,Cloud Engineer  Junior,ECS Federal LLC,Experience designing new systems from the ground up as well as assuming responsibility for existing systems and provide noticeable and significant improvements,"Vienna, VA"
7743,Data Architect,Steampunk,"You will constantly interact with both ETL developers and end users data analysts to share knowledge, collect feedback, and provide additional implementation requirements.Lead data management and migration projects","McLean, VA 22102"
7745,Data Architect,Steampunk,"Demonstrated onthejob experience designing storage and retrieval solutions for both structured and unstructured data, in support data science pipelines","McLean, VA 22102"
7752,Data Architect,Steampunk,Demonstrated experience working in an agile environment and leading agile projects,"McLean, VA 22102"
7755,Senior Applications Developer  Big Data Hadoop,ISYS Technologies,Experience building scalable and reliable data pipelines to ingest and process data atscale and in batch and realtime modes.,"Washington, DC 20001"
7756,Senior Applications Developer  Big Data Hadoop,ISYS Technologies,"Strong experience with at Hadoop databases including Hive, Impala and Relational Databases including SQL Server.","Washington, DC 20001"
7757,Senior Applications Developer  Big Data Hadoop,ISYS Technologies,Ability to troubleshoot and debug Hive/Impala query and perform query optimization,"Washington, DC 20001"
7759,AWS Data Engineer,Infinitive Inc,"Implementation knowledge of, or desire to learn AWS / Azure data science capabilities.","Arlington, VA 22201"
7761,AWS Data Engineer,Infinitive Inc,"Conduct MapReduce programming with Apache Hadoop, the Hadoop Distributed File System (HDFS), and processing large data stores.","Arlington, VA 22201"
7765,Data Test Engineer (JuniorMid),CACI,"Perform root cause analysis, database validation, and data defect identification using SQL.",
7769,Data Test Engineer (JuniorMid),CACI,"Strong understanding of relational databases, and software testing techniques and methods.",
7770,Data Test Engineer (JuniorMid),CACI,Knowledge of the Agile development process; experience with testing in an agile development environment is strongly desired.,
7771,Data Test Engineer (JuniorMid),CACI,"Experience with the ETL process, interface/conversion, and backend testing of Oracle databases using SQL and Unix scripting.",
7772,Data Test Engineer (JuniorMid),CACI,"Expertise with HP Quality Center and the HP Application LifeCycle Management Suite (Quality Center, Unified Functional Testing, Performance), and defect tracking tools.",
7778,ETL Software Development & Data Engineer Support,TechFlow,Develop new software and ETL tools to support data ingestion into the customer’s Data Lake.,"Chantilly, VA"
7783,ETL Software Development & Data Engineer Support,TechFlow,Demonstrated experience creating ETL design documentation including source/target mapping and data dictionary information,"Chantilly, VA"
7789,Sr. Data Engineer,NewWave HQ,"Experience with Azure Data Factory, Gen2 Data Lake, SQL Data Warehouse, DataBricks etc.","Elkridge, MD 21075"
7791,Sr. Data Engineer,NewWave HQ,"Experience with data pipeline and workflow management tools: Apache NiFi, Luigi, Airflow, etc.","Elkridge, MD 21075"
7807,Head of Data Engineering,The Knot Worldwide,"Collaborate with other TKWW teams (Enterprise, ProdDev, DevOps, etc) to provide data solutions for stakeholders","Washington, DC"
7813,Head of Data Engineering,The Knot Worldwide,"Experience with Big Data Solutions such as Snowflake, Redshift, Google BigQuery or Hadoop.","Washington, DC"
7814,Data Engineer,RGI Corp.,"Create data flows and transformations to automate, script, visualize, and modeling subnational wealth",
7817,Azure Engineer,Spin Systems,Perform Azure Resource Manager deployments including writing templates for deployment by others,"Falls Church, VA 22042"
7822,Senior Software Data Engineer,"Inovalon, Inc.","Generate business logic, custom queries, and reports from software applications using Microsoft TSQL per defined technical specifications.","Bowie, MD 20716"
7823,Senior Software Data Engineer,"Inovalon, Inc.",(1) developing and supporting databasedriven applications using TSQL on SQL Server 2000/2005/2008;,"Bowie, MD 20716"
7837,Senior Data Engineer,Logistics Management Institute,Responsible for building and maintaining optimized and highly available data pipelines that facilitate deeper analysis and reporting,"Tysons, VA"
7851,DevOps Data Engineer  DoD Office of Inspector General,Barbaricum,"Support and maintain infrastructure for a variety of big data applications including HDFS, Hadoop, and Spark.","Alexandria, VA"
7854,DevOps Data Engineer  DoD Office of Inspector General,Barbaricum,"Exposure to creating sustainable, automated processes for data analysis using tools such as Airflow and HDFS","Alexandria, VA"
7855,DevOps Data Engineer  DoD Office of Inspector General,Barbaricum,"Experience with Natural Language Processing (NLP) within R, Spark, SAS programming","Alexandria, VA"
7857,Chief Data Engineer,"E3 Federal Solutions, LLC",Demonstrated expertise in data flow design and implementation including ETL processes for specialized data sources,"Springfield, VA"
7858,Chief Data Engineer,"E3 Federal Solutions, LLC","Database design, architecture, and development experience including SQL and NoSQL","Springfield, VA"
7860,Chief Data Engineer,"E3 Federal Solutions, LLC",Experience with search tools including development and integration of custom data pipelines,"Springfield, VA"
7873,Cloud Security Engineer,ProSphere,"Technical expertise in current and emerging cloud technologies (Azure, MilCloud 2.0, and AWS)","Washington, DC"
7888,Data Science Analyst with Public Trust Clearance,Deloitte,Proven experience creating sophisticated data visualizations using Tableau or Power BI,"Arlington, VA 22209"
7904,Senior Data Engineer,Freddie Mac,Develop scalable and reliable data solutions to move data across systems from multiple sources in real time as well as batch modes,"McLean, VA 22102"
7906,Senior Data Engineer,Freddie Mac,Quickly learn new tools and paradigms to deploy cutting edge solutions; mentor junior developers; Work in agile environment,"McLean, VA 22102"
7907,Senior Data Engineer,Freddie Mac,Develop both deployment architecture and scripts for automated system deployment in AWS,"McLean, VA 22102"
7912,"Manager, Analytics (Data Engineer)",Weber Shandwick,"Frontend business intelligence dashboard development in Tableau, Looker, Domo etc",
7920,Data Software Engineer/Developer,Environmental Investigation Agency,"Develop and manage databases on a variety of RDBMS’s, such as PostgreSQL and MariaDB, using industry and security bestpractices;","Washington, DC"
7924,Data Software Engineer/Developer,Environmental Investigation Agency,"Experience building scalable RESTbased services & frontends, which adhere to open standards;","Washington, DC"
7926,SecDevOps Engineer Expert,Valiant Integrated Services,"Will maintain and enhance infrastructure as code with technologies including but not limited to cloud formation, terraform, puppet, codedeploy.","McLean, VA 22101"
7928,Graph Theory Data Engineer  DoD Office of Inspector General,Barbaricum,"Assist with creation, troubleshooting, and deployment of analytical processes that utilize social network analysis and graphtheory algorithms, including Datawalk and/or NEO4J","Alexandria, VA"
7939,AWS Engineer,The Goal Inc.,AWS experience (Our team heavily utilizes many services provided by AWS and is continuously evolving along with AWS innovation.),"Rockville, MD"
7950,Cyber Data Engineer,Booz Allen Hamilton,"Experience with designing and developing Continuous Integration and Continuous Deployment (CI/CD) process for a containerized environment, while managing scalable containerized services in a cloud or onprem environment",
7952,Cyber Data Engineer,Booz Allen Hamilton,"Experience with developing and maintaining CI/CD pipelines leveraging automation tools, including Jenkins",
7954,Cyber Data Engineer,Booz Allen Hamilton,Experience with developing data pipelines to support the deployment of machine learning and artificial intelligence capabilities,
7957,Data Lab Architect,Amazon.com,Possess significant experience of software development and/or IT and implementation/consulting experience.,
7958,Data Lab Architect,Amazon.com,Track record of implementing AWS services in a variety of business environments such as large enterprises and startups.,
7965,Data Lab Architect,Amazon.com,Working knowledge of modern software development practices and technologies such as agile methodologies and DevOps.,
7973,Sr. Data Scientist  Finance Operations,Amazon.com,"Understanding drivers, impacts, and key influences on cash application operations for a largescale Amazon business",
7974,Sr. Data Scientist  Finance Operations,Amazon.com,Optimizing automated cash application technology to improve the customer experience and increase operational productivity,
7979,Research & Data Analyst (DIMP Analyst or Sr DIMP Analyst),WGL,"Ability to systematically debug code, reduce I/O strain on ETL processes, and troubleshoot SQL for performance gains.","Springfield, VA"
7991,AWS Engineer,ArdentMC,Serve as senior technical resource in development team's efforts to determine the needs of the business that will simplify and automate the applications as well as make them more efficient.,"Washington, DC"
7993,AWS Engineer,ArdentMC,"Participate in planning, implementation, and growth of our customer's Amazon Web Services (AWS) foundational footprint.","Washington, DC"
7994,AWS Engineer,ArdentMC,Work with application and architecture teams to conduct proof of concept (POC) and implement the design in production environment in AWS.,"Washington, DC"
7995,AWS Engineer,ArdentMC,Migrate existing databases from on premise to AWS using various tools including but not limited to AWS Data Migration Services and AWS Schema Conversion Tool.,"Washington, DC"
8000,AWS Engineer,ArdentMC,Development of automated solutions to monitor and support our software development and release processes.,"Washington, DC"
8002,AWS Engineer,ArdentMC,"Proficiency and experience with AWS developer tools and workflows (AWSCLI, CloudFormation, etc.)","Washington, DC"
8006,"DevOps Engineer, Jr.","Salient CRGT, Inc.",Minimizes toil by automating configuration via codification (Terraform is one of our main instruments),"Rockville, MD 20852"
8008,"DevOps Engineer, Jr.","Salient CRGT, Inc.","Performs research and evaluates new technologies to meet the most advanced demands of our product teams (e.g., delivering large, versioned data sets to applications running on Kubernetes)","Rockville, MD 20852"
8011,"DevOps Engineer, Jr.","Salient CRGT, Inc.",Nomad and Kubernetes to schedule and run our deployments (currently transitioning from Nomad to Kubernetes),"Rockville, MD 20852"
8014,"DevOps Engineer, Jr.","Salient CRGT, Inc.",Puppet and Terraform for configuration management (we develop custom Terraform plugins for our specific needs),"Rockville, MD 20852"
8015,"DevOps Engineer, Jr.","Salient CRGT, Inc.","AWS, GCP and onpremises datacenters (we strive to provide a seamless application deployment experience between data centers and clouds)","Rockville, MD 20852"
8019,"DevOps Engineer, Jr.","Salient CRGT, Inc.","Experience using cluster scheduler technologies (Kubernetes, Nomad, Mesos), or solid understanding of the concepts they operate upon","Rockville, MD 20852"
8027,Cloud Engineer,Novetta,Demonstrable experience with Infrastructure as Code using tooling such as CloudFormation and Terraform,"Reston, VA"
8036,Big Data Engineer  AWS,Fannie Mae,"Serve as a technical lead for an Agile team and actively participate in all Agile ceremonies. Participate in all team ceremonies including planning, grooming, product demonstration and team retrospectives.","Herndon, VA 20170"
8038,Big Data Engineer  AWS,Fannie Mae,"Leverage Fannie Mae DevOps tool stack to build, inspect, deploy, test and promote new or updated features.","Herndon, VA 20170"
8041,Big Data Engineer  AWS,Fannie Mae,"Familiar with Hadoop information architecture, data modeling, machine learning, Talend","Herndon, VA 20170"
8044,Data Engineer Principal,Huntington Ingalls Industries Inc.,Use Nifi and Python to create data flows and transformations and understand the workflow of the project.,"Fairfax, VA 22033"
